V1,V2,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,landDem_2017,output,LPC_2017,LRP_2017
Padi,Direct land-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16925,0,0,0,0,0,0,0,0,16925,6398407.197,378.0447384,0.00264519
Tanaman Bahan Makanan lainnya,Direct land-based,0,0,0,0,0,0,0,0,0,0,0,98692,0,0,0,0,0,0,0,0,0,0,0,98692,15002651.25,152.014867,0.006578304
Karet,Direct land-based,0,0,0,0,0,0,24003.7,0,0,0,194245,0,430068,0,0,0,0,0,0,0,0,0,0,648316.7,8027716.871,12.38240025,0.080759786
Kelapa Sawit,Direct land-based,0,0,0,0,0,0,0,0,0,0,485612.5,0,0,0,0,0,0,0,0,0,0,0,0,485612.5,2320884.242,4.77929263,0.209235985
Kopi,Direct land-based,0,0,0,0,0,0,0,0,0,0,0,0,286712,0,0,0,0,0,0,0,0,0,0,286712,7290987.395,25.42965552,0.039324166
Tanaman Pekebunan Lainnya,Direct land-based,0,0,0,0,0,0,0,0,0,0,291367.5,0,286712,0,0,0,0,0,0,0,0,0,0,578079.5,21886184.45,37.86016361,0.026412987
Peternakan dan hasil-hasilnya,Direct land-based,0,0,0,0,0,0,0,0,0,27.6,0,0,0,0,0,0,0,0,0,0,0,0,0,27.6,4913561.962,178027.6073,5.62E-06
Kayu,Direct land-based,0,115926.4,0,4611.7,0,0,216033.3,0,0,0,0,0,430068,0,0,0,0,0,0,0,0,0,0,766639.4,2936746.398,3.830675019,0.261050597
Hasil hutan lainnya,Direct land-based,58093.1,0,13245.1,0,80.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71418.7,1366582.061,19.13479328,0.052260821
Perikanan,Direct land-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,8712.8,3028.2,0,0,11941,3288715.058,275.4137056,0.003630901
Pertambangan Migas,Direct land-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3642,0,0,0,0,0,3642,28964473.45,7952.903198,0.00012574
Pertambangan non-Migas,Direct land-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3642,0,0,0,0,0,3642,11047644.68,3033.400517,0.000329663
Penggalian,Direct land-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3642,0,0,0,0,0,3642,3286742.555,902.4553966,0.001108088
Pengilangan minyak bumi,Direct land-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3642,0,0,0,0,0,3642,3462010.021,950.5793576,0.00105199
"Industri penggilingan padi, biji-bijian",Indirect land-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1368.135,0,0,0,0,1368.135,11392356.23,8326.924044,0.000120092
Industri Kelapa Sawit,Indirect land-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1368.135,0,0,0,0,1368.135,8313709.134,6076.673087,0.000164564
"Industri Makanan dan Minuman Lainnya, kimia dan barang dari karet",Indirect land-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1368.135,0,0,0,0,1368.135,9647090.499,7051.27089,0.000141818
"Industri Barang dari Kayu dan Hasil hutan lainnya, barang lain bukan logam",Indirect land-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1368.135,0,0,0,0,1368.135,2266246.684,1656.449607,0.000603701
"Industri Barang dari Karet dan Plastik, besi dan baja",Indirect land-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1368.135,0,0,0,0,1368.135,7282437.209,5322.893727,0.000187868
"Industri kertas dan barang dari kertas, mesin dan peralatan",Indirect land-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1368.135,0,0,0,0,1368.135,2179077.981,1592.736083,0.00062785
Industri pupuk dan bahan kimia,Indirect land-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1368.135,0,0,0,0,1368.135,181929.3309,132.9761544,0.007520145
"Industri semen, dan barang galian bukan logam",Indirect land-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1368.135,0,0,0,0,1368.135,792424.5081,579.2005234,0.001726518
Industri Lainnya,Indirect land-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1368.135,0,0,0,0,1368.135,521909.7285,381.4753138,0.002621402
"Listrik, Gas dan Air Bersih",Non land-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1368.135,0,0,0,0,1368.135,625362.9113,457.0915234,0.002187746
Konstruksi,Non land-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456.045,0,0,0,0,456.045,24304962.29,53295.09651,1.88E-05
Perdagangan Besar dan Eceran,Non land-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456.045,0,0,0,0,456.045,37209870.21,81592.54068,1.23E-05
"Transportasi ,sungai,  dan penyeberangan",Non land-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,81,15074545.25,186105.4969,5.37E-06
Penyediaan Akomodasi dan Makan Minum,Non land-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456.045,0,0,0,0,456.045,3697922.202,8108.678314,0.000123325
Informasi dan Komunikasi,Non land-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456.045,0,0,0,0,456.045,10589068.05,23219.34907,4.31E-05
Jasa Keuangan dan Asuransi,Non land-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456.045,0,0,0,0,456.045,7665582.025,16808.82813,5.95E-05
Real Estate dan Jasa Perusahaan,Non land-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456.045,0,0,0,0,456.045,9708223.146,21287.86226,4.70E-05
Jasa Administrasi Pemerintahan,Non land-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456.045,0,0,0,0,456.045,11325333.49,24833.80694,4.03E-05
Jasa Pendidikan,Non land-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456.045,0,0,0,0,456.045,9642230.762,21143.1564,4.73E-05
Jasa Kesehatan dan Kegiatan Sosial,Non land-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456.045,0,0,0,0,456.045,2877512.639,6309.712066,0.000158486
"Jasa lainnya, rekreasi & kebudayaan",Non land-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456.045,0,0,0,0,456.045,2560489.154,5614.553725,0.000178109
Kegiatan lainnya,Non land-based,522837.9,173889.6,119205.9,41505.3,724.5,4095,0,445750,208972,64.4,0,0,0,21839,0,0,233977,0,72967.2,34851.2,12112.8,0,0,1892791.8,0,0,0
