ID,SEKTOR,TOTAL,Padat_Ditimbun_di_TPA,Padat_Kompos,Padat_R3,Padat_waste_to_energy,Padat_dibakar_terbuka,Padat_tidak_terkelola,Cair_septic_tank,Cair_MCK_plus,Cair_IPAL_Aerob,Cair_IPAL_Anaerob,Cair_tidak_terkelola,Cair_Biogas,Cair_Pengolahan_KIMIA,Cair_R3
1,Padi,4891094.708,0,1534690.238,0,0,1534690.238,1802652.025,0,0,0,13343.5456,5718.6624,0,0,0
2,Tanaman bahan makanan lainnya,158279.534,0,0,41031.9306,0,0,95741.1714,0,0,0,15054.5024,6451.9296,0,0,0
3,Tanaman pertanian lainnya,108336.286,0,0,21863.97,0,0,51015.93,0,0,0,11885.3952,23570.9908,0,0,0
4,Peternakan dan hasil-hasilnya,22273.02655,0,0,1138.732965,0,0,2657.043585,0,0,0,0,18477.25,0,0,0
5,Kehutanan,19085.9742,0,0,3778.695927,0,0,9479.886273,0,0,0,4079.1744,1748.2176,0,0,0
6,Perikanan,9227.723209,0,0,1048.488126,0,0,1048.488126,0,0,0,0,7130.746957,0,0,0
7,Pertambangan dan penggalian,8242.140609,0,0,549.1111263,0,0,562.2825263,0,0,0,0,7130.746957,0,0,0
8,Industri makanan minuman dan tembakau,6260.34695,50.525475,0,9.0945855,0,20.21019,21.2206995,0,0,0,4311.5072,1847.7888,0,0,0
9,Industri lainnya (semen),154245.2871,0,0,14876.0479,0,0,1325.728184,0,0,0,0,0,0,0,138043.5111
10,Pengilangan minyak bumi,785.47875,6.339375,0,1.1410875,0,2.53575,2.6625375,0,0,0,540.96,231.84,0,0,0
11,"Listrik,  gas, dan air minum",14654.02406,0,0.045609974,5655.268164,0,0,0.091364742,0,0,0,6270.7456,2725.140341,0,0,2.732978627
12,Bangunan,5304.736167,43.88808358,0,7.899855044,0,17.55523343,18.4329951,0,0,0,3651.872,1565.088,0,0,0
13,Perdagangan,36.6882,0.2961,0,0.053298,0,0.11844,0.124362,0,0,0,25.2672,10.8288,0,0,0
14,Hotel dan restoran,2872.075964,0,0,4.89167343,0,10.8703854,11.41390467,0,0,0,1991.43,853.47,0,0,0
15,Pengangkutan dan komunikasi,7942.819891,131.4278909,0,0,0,0,0,0,0,0,5467.9744,2343.4176,0,0,0
16,Lembaga keuangan usaha bangunan dan jasa perusahaan,1229.626325,10.17316248,0,1.831169246,0,4.06926499,4.27272824,0,0,0,846.496,362.784,0,0,0
17,Pemerintahan umum dan petahanan,11400.48096,94.32047993,0,16.97768639,0,37.72819197,39.61460157,0,0,0,7848.288,3363.552,0,0,0
18,Jasa-jasa,3197.93952,26.45776011,0,4.762396819,0,10.58310404,11.11225924,0,0,0,2201.5168,943.5072,0,0,0
19,Kegiatan yang tak jelas batasannya,17.31043146,0.14321573,0,0.025778831,0,0.057286292,0.060150607,0,0,0,11.9168,5.1072,0,0,0
