"","V1","V2"
"1","y2015","-5519169.0626"
"2","y2016","2013089.67132998"
"3","y2017","2239681.98562533"
"4","y2018","2438451.57394568"
"5","y2019","2620746.67816695"
"6","y2020","2799945.04717714"
"7","y2021","2976947.21351982"
"8","y2022","3144747.2391962"
"9","y2023","3363808.70681946"
"10","y2024","3620612.23055947"
"11","y2025","3889298.24237628"
"12","y2026","4173248.83254024"
"13","y2027","4475856.76805017"
"14","y2028","4800890.7940928"
"15","y2029","5152750.05617904"
"16","y2030","5536625.81272187"
